,alumnus,organisation,place,country
3572,Ernst Julius Berg,University of Illinois at Urbana–Champaign,Champaign,United States of America
3573,Erik T. Jansson,University of Illinois at Urbana–Champaign,Champaign,United States of America
3574,Adam Strohm,University of Illinois at Urbana–Champaign,Champaign,United States of America
3575,Martin Margold,Durham University,Durham,United Kingdom
3576,Martin Margold,Durham University,Stockton-on-Tees,United Kingdom
3577,Martin Margold,Durham University,County Durham,United Kingdom
3578,Valentin V Khoze,Durham University,Durham,United Kingdom
3579,Valentin V Khoze,Durham University,Stockton-on-Tees,United Kingdom
3580,Valentin V Khoze,Durham University,County Durham,United Kingdom
3581,Renata Jędrkiewicz,Gdańsk University of Technology,Gdańsk,Poland
3582,Hans Davidsson,University of the Arts Bremen,Bremen,Germany
3583,Henrik Nilsson,University of Nottingham,Nottingham,United Kingdom
3584,Henrik Nilsson,University of Nottingham,Nottinghamshire,United Kingdom
3585,Dumitru Constantin-Teodosiu,University of Nottingham,Nottingham,United Kingdom
3586,Dumitru Constantin-Teodosiu,University of Nottingham,Nottinghamshire,United Kingdom
3587,Jae-Kwang Kim,Ulsan National Institute of Science and Technology,Ulsan,South Korea
3588,John H-O Pettersson,University of Sydney,Sydney,Australia
3589,Velta Ruke-Dravina,University of Latvia,Riga,Latvia
3590,Uldis Ģērmanis,University of Latvia,Riga,Latvia
3591,Brūno Kalniņš,University of Latvia,Riga,Latvia
3592,Otto Steiger,University of Latvia,Riga,Latvia
3593,Lena Struwe,Rutgers University,New Jersey,United States of America
3594,Aris Fioretos,Rutgers University,New Jersey,United States of America
3595,Otto Steiger,Rutgers University,New Jersey,United States of America
3596,Ivan Snehota,University of Turin,Turin,Italy
3597,Dmitry Feichtner-Kozlov,University of Bremen,Horn-Lehe,Germany
3598,Otto Steiger,University of Bremen,Horn-Lehe,Germany
3599,Stephan Schönecker,University of Florida,Gainesville,United States of America
3600,Jawahar L. Mehta,University of Florida,Gainesville,United States of America
3601,Per-Olov Löwdin,University of Florida,Gainesville,United States of America
3602,Imran Mohammad,University of Turku,Turku,Finland
3603,Rubina Kotak,University of Turku,Turku,Finland
3604,Louise Eriksson,Kristianstad University College,Kristianstad Municipality,Sweden
3605,Nils-Olof Svensson,Kristianstad University College,Kristianstad Municipality,Sweden
3606,Alfred Sjödin,Halmstad University College,Halmstad Municipality,Sweden
3607,Niklas Elmqvist,University of Maryland,College Park,United States of America
3608,Eva-Karin Gidlund,University of Maryland,College Park,United States of America
3609,Tim Canova,University of Arizona,Tucson,United States of America
3610,Ernst Antevs,University of Arizona,Tucson,United States of America
3611,Leif Erland Andersson,University of Arizona,Tucson,United States of America
3612,Radha Raman Pandey,University of Geneva,Canton of Geneva,Switzerland
3613,Bjarne Bender Mortensen,Södertälje Municipality,Stockholm County,Sweden
3614,Bjarne Bender Mortensen,Södertälje Municipality,Stockholm County,Sweden
3615,Kathleen Kahn,University of the Witwatersrand,Johannesburg,South Africa
3616,Fredros O Okumu,University of the Witwatersrand,Johannesburg,South Africa
3617,M Abdalrahim,University of the Witwatersrand,Johannesburg,South Africa
3618,Chandima Gomes,University of the Witwatersrand,Johannesburg,South Africa
3619,Marie Magnusson,James Cook University,Queensland,Australia
3620,Marie Klingberg-Allvin,Dalarna University College,Falun Municipality,Sweden
3621,Marie Klingberg-Allvin,Dalarna University College,Borlänge Municipality,Sweden
3622,Olav Kallenberg,Auburn University,Auburn,United States of America
3623,Olav Kallenberg,Auburn University,Auburn,United States of America
3624,Marta Larusdottir,Anglia Ruskin University,Essex,United Kingdom
3625,F. William Engdahl,RheinMain University of Applied Sciences,Wiesbaden,Germany
3626,F. William Engdahl,RheinMain University of Applied Sciences,Rüsselsheim am Main,Germany
3627,Anna Tibaijuka,University of Dar es Salaam,Dar es Salaam,Tanzania
3628,Rauno Alatalo,University of Jyväskylä,Jyväskylä,Finland
3629,Ivar Mendez,Dalhousie University,Halifax,Canada
3630,Hinrich Bitter-Suermann,Dalhousie University,Halifax,Canada
3631,Jan O. Pralits,University of Genoa,Genoa,Italy
3632,Deepak Adhikari,Monash University,Melbourne,Australia
3633,Jacqui True,Monash University,Melbourne,Australia
3634,Lars Lönnroth,Aalborg University,Aalborg Municipality,Denmark
3635,Marwa Dabaieh,Aalborg University,Aalborg Municipality,Denmark
3636,Fredrik Dalerum,University of Pretoria,Pretoria,South Africa
3637,Tanel Tammet,Tallinn University of Technology,Tallinn City,Estonia
3638,Marie Magnusson,University of Waikato,Hamilton,New Zealand
3639,Björn Bjerke,University of Waikato,Hamilton,New Zealand
3640,Hannes Alfvén,"University of California, San Diego",La Jolla,United States of America
3641,Martin Gustavsson,"University of California, San Diego",La Jolla,United States of America
3642,Hannes Alfvén,"University of California, San Diego",La Jolla,United States of America
3643,Jae-Kwang Kim,Cheongju University,Cheongju,South Korea
3644,Ratana Lawung,Mahidol University,Bangkok,Thailand
3645,Laurent Brun,University of Ottawa,Ottawa,Canada
3646,Natacha Gagné,University of Ottawa,Ottawa,Canada
3647,Thomas Gustavsson,University of Ottawa,Ottawa,Canada
3648,Agnes Geijer,Swedish National Heritage Board,Stockholm Municipality,Sweden
3649,David Haskiya,Swedish National Heritage Board,Stockholm Municipality,Sweden
3650,Gustaf Hallström,Swedish National Heritage Board,Stockholm Municipality,Sweden
3651,Göran Therborn,Radboud University Nijmegen,Nijmegen,Netherlands
3652,Sam Schulman,McMaster University,Ontario,Canada
3653,Olof Hanner,Institute for Advanced Study,Princeton,United States of America
3654,Hans Rådström,Institute for Advanced Study,Princeton,United States of America
3655,Patrik Rorsman,University of Alberta,Edmonton,Canada
3656,Zulfiqar Bhutta,University of Alberta,Edmonton,Canada
3657,Quan Zhang,University of Alberta,Edmonton,Canada
3658,Alexander Goncharov,NUI Galway,Galway,Ireland
3659,Lorenzo Cangiano,University of Pisa,Pisa,Italy
3660,Zhong Zhihua,Hunan University,Changsha,People's Republic of China
3661,Zhong Zhihua,Hunan University,Changsha,People's Republic of China
3662,Kirsten Ellegaard,University of Lausanne,Lausanne,Switzerland
3663,Erik Björkdal,Norwegian Meteorological Institute,Oslo Municipality,Norway
3664,Paul Oburu,Maseno University,Kisumu,Kenya
3665,Louise Eriksson,Swedish National Road and Transport Research Institute,Linköping,Sweden
3666,Mats Gustafsson,Swedish National Road and Transport Research Institute,Linköping,Sweden
3667,Bengt Wallström,"Faculty of Engineering (LTH), Lund University",Lund Municipality,Sweden
3668,Bengt Wallström,"Faculty of Engineering (LTH), Lund University",Lund Municipality,Sweden
3669,Wendell A. Mordy,Science Museum of Minnesota,Saint Paul,United States of America
3670,John Lindros,Swedish Institute in Rome,Rome,Italy
3671,Ola Grimsholm,Bambino Gesù Hospital,Rome,Italy
3672,Susanne Lager,University of Texas Health Science Center at San Antonio,San Antonio,United States of America
3673,Yeneneh Haileselassie,Stanford University School of Medicine,Stanford,United States of America
3674,Moiz Bakhiet,Arabian Gulf University,Manama,Bahrain
3675,Vladimir Admoni,Institute of Linguistic Studies,Saint Petersburg,Russia
3676,Otto J. Maenchen-Helfen,Marx-Engels-Lenin Institute,Moscow,Russia
3677,Q30346365,Latvian Institute of Organic Synthesis,Riga,Latvia
3678,Andrii Dinets,Bogomolets National Medical University,Kiev,Ukraine
3679,Johan Peter Falck,Saint Petersburg Academy of Sciences,Saint Petersburg,Russia
3680,Johann Gottlieb Georgi,Saint Petersburg Academy of Sciences,Saint Petersburg,Russia
3681,Gustaf Johan Billberg,Saint Petersburg Academy of Sciences,Saint Petersburg,Russia
3682,Andris Vaivads,Swedish Institute of Space Physics,Kiruna,Sweden
3683,Love Alm,Swedish Institute of Space Physics,Kiruna,Sweden
3684,Elias Odelstad,Swedish Institute of Space Physics,Kiruna,Sweden
3685,Bengt Hultqvist,Swedish Institute of Space Physics,Kiruna,Sweden
3686,Bo Thidé,Swedish Institute of Space Physics,Kiruna,Sweden
3687,Ernst Rosén,Stockholms Dagblad,Stockholm Municipality,Sweden
3688,Ernst Rosén,Stockholms Dagblad,Stockholm Municipality,Sweden
3689,Olof Rabenius,Stockholms Dagblad,Stockholm Municipality,Sweden
3690,Torgrim Sneve Guttormsen,Norwegian Institute for Cultural Heritage Research,Oslo Municipality,Norway
3691,Anagnostis Agelarakis,Adelphi University,New York,United States of America
3692,Zulfiqar Bhutta,Aga Khan University,Karachi,Pakistan
3693,Stanslaus Butungo,Ardhi University,Dar es Salaam,Tanzania
3694,Jorge B. Aquino,Austral University,Buenos Aires,Argentina
3695,Mahmood Jeddi-Tehrani,Avicenna Research Institute,Tehran,Iran
3696,Farah Idali,Avicenna Research Institute,Tehran,Iran
3697,Nur Ahmed,Bangladesh Rice Research Institute,Dhaka,Bangladesh
3698,Kate Megquier,Broad Institute,Massachusetts,United States of America
3699,Zhi-Qing David Xu,Capital University of Medical Sciences,Beijing,People's Republic of China
3700,Claes von Hofsten,Center for Advanced Study in the Behavioral Sciences,California,United States of America
3701,Wendell A. Mordy,Center for the Study of Democratic Institutions,California,United States of America
3702,Patrick Provost,Centre hospitalier universitaire de Québec,Quebec City,Canada
3703,Janet Myhre,Claremont McKenna College,California,United States of America
3704,Julian Togelius,Dalle Molle Institute for Artificial Intelligence Research,Lugano,Switzerland
3705,Wendell A. Mordy,Desert Research Institute,Reno,United States of America
3706,Wendell A. Mordy,Desert Research Institute,Boulder City,United States of America
3707,Wendell A. Mordy,Desert Research Institute,Paradise,United States of America
3708,Wendell A. Mordy,Desert Research Institute,Steamboat Springs,United States of America
3709,Adam Strohm,Detroit Public Library,Detroit,United States of America
3710,Julia Uddén,F.C. Donders Centre for Cognitive Neuroimaging,Nijmegen,Netherlands
3711,Julia Uddén,F.C. Donders Centre for Cognitive Neuroimaging,Nijmegen,Netherlands
3712,Rizaldy P Scott,Feinberg School of Medicine,Illinois,United States of America
3713,Christopher Sundling,Garvan Institute of Medical Research,Darlinghurst,Australia
3714,Kristina Hanspers,Gladstone Institutes,San Francisco,United States of America
3715,Asta Ekenvall,Gothenburg University Library,Gothenburg Municipality,Sweden
3716,Ylva Fältholm,Gävle University College,Gävle,Sweden
3717,Arne Fagerström,Gävle University College,Gävle,Sweden
3718,Wendell A. Mordy,Hawaii Agriculture Research Center,Aiea,United States of America
3719,Erik Johansson,ISMAI,Maia,Portugal
3720,Sourav Datta,"Indian Institute of Science Education and Research, Bhopal",Bhopal,India
3721,Muhammad Munir,Pirbright Institute,Woking,United Kingdom
3722,Nadia Duarte,Instituto Gulbenkian de Ciência,Oeiras,Portugal
3723,Ingrid E.M. Edlund-Berry,Intercollegiate Center for Classical Studies,Rome,Italy
3724,Fredros O Okumu,International Centre of Insect Physiology and Ecology,Nairobi,Kenya
3725,Bengt Hultqvist,International Space Science Institute,Bern,Switzerland
3726,Rudolf Söderberg,Katedralskolan,Skara Municipality,Sweden
3727,Rudolf Söderberg,Katedralskolan,Skara Municipality,Sweden
3728,Lars Johan Danbolt,MF Norwegian School of Theology,Oslo Municipality,Norway
3729,Anders Løøv,Saemien Sijte,Snåsa,Norway
3730,Annika Malmström,Linköping University Hospital,Linköping,Sweden
3731,Brian Harold Mason,Indiana University,Indiana,United States of America
3732,Quan Zhang,Louisiana State University Health Sciences Center Shreveport,Shreveport,United States of America
3733,Frits Danielsson,Lundsbergs skola,Storfors Municipality,Sweden
3734,Walter Fevrell,Lundsbergs skola,Storfors Municipality,Sweden
3735,Patricia Hansen,National Scientific and Technical Research Council,Buenos Aires,Argentina
3736,Eric Hallgren,Norra Real,Stockholm Municipality,Sweden
3737,Margunn Bjørnholt,Norwegian Centre for Violence and Traumatic Stress Studies,Oslo Municipality,Norway
3738,Bill Söderström,Okinawa Institute of Science and Technology,Okinawa,Japan
3739,Bill Söderström,Okinawa Institute of Science and Technology,Onna,Japan
3740,Bill Söderström,Okinawa Institute of Science and Technology,Okinawa,Japan
3741,Bill Söderström,Okinawa Institute of Science and Technology,Onna,Japan
3742,Gaurav K. Varshney,Oklahoma Medical Research Foundation,Oklahoma City,United States of America
3743,Bharati Sharma,Public Health Foundation of India,New Delhi,India
3744,Monir Mazaheri,Red Cross University College of Nursing,Stockholm,Sweden
3745,Selim Birger,Saint George's Hospital,Stockholm Municipality,Sweden
3746,Selim Birger,Saint George's Hospital,Stockholm Municipality,Sweden
3747,Rizaldy P Scott,Lunenfeld-Tanenbaum Research Institute,Ontario,Canada
3748,Elisabet Sjökvist,Scotland's Rural College,City of Edinburgh,United Kingdom
3749,Zafar Hussain Ibupoto,University of Sindh,Jamshoro,Pakistan
3750,Abdul Karim Bangura,Sojourner–Douglass College,Baltimore,United States of America
3751,Maja Holm,Sophiahemmet University College,Stockholm,Sweden
3752,Ashley van Niekerk,South African Medical Research Council,City of Cape Town,South Africa
3753,Yu Sun,South China Agricultural University,Guangzhou,People's Republic of China
3754,Johannes Strömberg,Spyken,Lund Municipality,Sweden
3755,Jenny Grönwall,Stockholm International Water Institute,Stockholm,Sweden
3756,Roberto Olivares-Hernández,UAM Cuajimalpa,Mexico City,Mexico
3757,Tracy Jill Doty,United States Army Research Laboratory,Adelphi,United States of America
3758,Anita Hansbo,University College West,Trollhättan,Sweden
3759,Jonas Alin,University of Kentucky College of Pharmacy,Lexington,United States of America
3760,Hanna Betts Lindroos,Uppsala Monitoring Centre,Uppsala,Sweden
3761,Amy Marjorie Dale,Westfield College,London,United Kingdom
3762,Jonas Nensén,Dorotea Church,Dorotea Municipality,Sweden
3763,Hans Bendz,Ramlösa hälsobrunn,Helsingborg Municipality,Sweden
3764,Alexandra Skoglund,Ahlströmska skolan,Stockholm Municipality,Sweden
3765,Maria B Magnusson,Angereds närsjukhus,Gothenburg Municipality,Sweden
3766,Maria B Magnusson,Angereds närsjukhus,Västra Götaland Regional Council,Sweden
3767,Rudolf Söderberg,Axevalla folkhögskola,Skara Municipality,Sweden
3768,Rudolf Söderberg,Axevalla folkhögskola,Skara Municipality,Sweden
3769,Ossian Edmund Borg,The county council house of Kungsholmen,Stockholm Municipality,Sweden
3770,Hilding Kjellman,Gothenburg University College,Gothenburg,Sweden
3771,Sten de Geer,Gothenburg University College,Gothenburg,Sweden
3772,Walter Kaudern,Gothenburg Museum,Gothenburg Municipality,Sweden
3773,Johan Christopher Ruuth I,Hede church,Härjedalen Municipality,Sweden
3774,Eric Hallgren,Högre latinläroverket,Gothenburg Municipality,Sweden
3775,Hilding Kjellman,Högre lärarinneseminariet,Stockholm Municipality,Sweden
3776,Karim Jebari,Institute for Futures Studies,Stockholm,Sweden
3777,Maria Wallenberg Bondesson,Institute for Futures Studies,Stockholm,Sweden
3778,Erik Angner,Institute for Futures Studies,Stockholm,Sweden
3779,Margareta Halin Lejonklou,Swedish Chemicals Agency,Sundbyberg Municipality,Sweden
3780,Albert Ahlberg,Kustsanatoriet Apelviken,Varberg Municipality,Sweden
3781,Per Clemensson,Regional Archives in Göteborg,Gothenburg Municipality,Sweden
3782,Siri Bonde Andersen,Malmö museums,Malmö,Sweden
3783,Ossian Edmund Borg,Campus Manilla,Stockholm Municipality,Sweden
3784,Ossian Edmund Borg,Campus Manilla,Östermalm city district,Sweden
3785,Mikael Häggström,NU Hospital Group,Trollhättan,Sweden
3786,Dilmurat Yusuf,University of Luxembourg,Esch-sur-Alzette,Luxembourg
3787,Rachel Muheim,Virginia Tech,Blacksburg,United States of America
3788,Anders Lagergren,Norra Åsums församling,Kristianstad Municipality,Sweden
3789,Anders Lagergren,Nya Elementar,Stockholm Municipality,Sweden
3790,Carl Jonas Love Almqvist,Nya Elementar,Stockholm Municipality,Sweden
3791,Salmir Nasic,Skaraborg Hospital,Skövde,Sweden
